Women_Team,Women_Total_Goals,Women_Home_Team,Women_Home_Draws,Women_Home_Losses,Women_Home_Wins,Women_Away_Team,Women_Away_Draws,Women_Away_Losses,Women_Away_Wins,Women_Match_Day,Women_Matches_Count,Men_Team,Men_Total_Goals,Men_Home_Team,Men_Home_Draws,Men_Home_Losses,Men_Home_Wins,Men_Away_Team,Men_Away_Draws,Men_Away_Losses,Men_Away_Wins,Men_Match_Day,Men_Matches_Count
United States Women's,26,Argentina Women's,1,0,0,Argentina Women's,1,1,0,Saturday,10.0,Belgium,16,Argentina,1,1,0,Argentina,0,1,1,Saturday,12.0
England Women's,13,Australia Women's,0,1,1,Australia Women's,1,0,1,Tuesday,8.0,Croatia,14,Australia,0,1,0,Australia,1,1,0,Tuesday,10.0
Sweden Women's,12,Brazil Women's,0,0,1,Brazil Women's,0,2,1,Sunday,8.0,France,14,Belgium,0,0,4,Belgium,0,1,2,Monday,9.0
Netherlands Women's,11,Cameroon Women's,0,0,1,Cameroon Women's,0,3,0,Monday,8.0,England,12,Brazil,1,1,2,Brazil,0,0,1,Sunday,9.0
France Women's,10,Canada Women's,0,0,2,Canada Women's,0,2,0,Thursday,7.0,Russia,11,Colombia,1,1,0,Colombia,0,0,2,Friday,8.0
Germany Women's,10,Chile Women's,0,1,0,Chile Women's,0,1,1,Wednesday,6.0,Brazil,8,Costa Rica,0,1,0,Costa Rica,1,1,0,Wednesday,8.0
Italy Women's,9,China PR Women's,1,0,0,China PR Women's,0,2,1,Friday,5.0,Uruguay,7,Croatia,1,0,2,Croatia,1,1,2,Thursday,8.0
Australia Women's,9,England Women's,0,2,3,England Women's,0,0,2,,,Spain,7,Denmark,2,0,0,Denmark,1,0,1,,
Brazil Women's,7,France Women's,0,1,3,France Women's,0,0,1,,,Japan,6,Egypt,0,1,0,Egypt,0,2,0,,
Norway Women's,7,Germany Women's,0,1,3,Germany Women's,0,0,1,,,Sweden,6,England,0,1,1,England,1,2,2,,
